Name	"R3node.degree"	"R3node.betw"	"R3node.stress"	"R3node.evcent"	"R3Clustering.Coefficient"	R3No. module	R3Zi	R3Pi
188	3	145.087721196932	468	0.0200217188359985	0	1	-0.240192230707631	0.444444444444444
201	2	250	952	0.01187795730046	0	0	-0.675012361516312	0
237	9	538.936961894315	1712	0.0286780117610334	0.138888888888889	3	2.74442693373879	0.345679012345679
240	4	75.8094168688209	374	0.0374959194473238	0.5	0	0.0880450906325624	0
241	5	361.940956265956	1063	0.0278163914349926	0.3	3	0.901155112570945	0.32
257	6	406.692177470257	1754	0.0820176918109758	0.466666666666667	0	0.851102542781436	0
258	1	0	0	3.79868957594294e-93	0	13	0	0
280	5	220.174039938938	589	0.0481674968649486	0.2	0	0.469573816706999	0
324	7	421.096381469408	1477	0.216105856684245	0.333333333333333	2	0.146113908046701	0.448979591836735
325	3	141.341702741703	367	0.00234010650586354	0	3	0.286731172181664	0
364	4	110.255985680986	276	0.069838701402261	0.166666666666667	2	-0.613678413796143	0.375
415	11	823.398068822688	3114	0.138335083923654	0.145454545454545	0	1.99568872100475	0.314049586776859
431	1	0	0	0.000331939689641794	0	3	-0.942116708596896	0
3	3	80.2420634920635	200	0.0532586942329851	0	1	-0.240192230707631	0.444444444444444
12	4	375	1284	0.00437109476571899	0	7	1.73205080756888	0.375
41	3	126	319	0.0114559272870324	0.333333333333333	4	-0.209609381840844	0
77	5	260.921959398755	739	0.0215634982515809	0.2	1	1.52121746114833	0.32
85	11	633.036606449106	1956	0.316496022269553	0.290909090909091	2	1.66569855173239	0.314049586776859
88	1	0	0	6.84311078348513e-77	0	9	0	0
94	4	24.5443722943723	111	0.0113899963809066	0.666666666666667	3	0.901155112570945	0
104	7	178.832897623221	784	0.099480023928333	0.476190476190476	0	1.23263126885587	0
108	8	507.619050336152	2317	0.174870644810446	0.285714285714286	0	0.851102542781436	0.375
111	1	0	0	9.69211479504371e-05	0	6	-0.577350269189626	0
164	4	76.8717244084891	293	0.0902768430057816	0.333333333333333	2	-0.233782252874721	0
178	1	0	0	3.79868957594294e-93	0	17	0	0
192	3	1	4	0.0094436061056429	0.666666666666667	4	-0.209609381840844	0
193	1	0	0	0.00248956831647186	0	4	-1.08615770590256	0
204	1	0	0	0.000991968028514664	0	3	-0.942116708596896	0
208	9	284.425564237179	1028	0.25715916432189	0.361111111111111	2	0.905906229889545	0.37037037037037
253	8	509.843548410653	1862	0.0310019754930646	0.214285714285714	4	1.54348726628258	0.21875
256	2	43.7303936803937	191	0.0113586471853647	0	0	-0.675012361516312	0
259	5	79.1664336824166	313	0.0173441764257019	0.3	4	0.228664780190012	0.32
266	1	0	0	3.79868957594294e-93	0	17	0	0
273	1	0	0	3.79868957594294e-93	0	16	0	0
304	1	0	0	3.79868957594294e-93	0	15	0	0
305	3	4.77647907647908	32	0.0166381529438927	0.333333333333333	4	-0.209609381840844	0
307	1	0	0	3.79868957594294e-93	0	15	0	0
315	3	186.027040531932	472	0.00366410258668253	0	5	0.816496580927727	0.444444444444444
333	2	25.1111111111111	75	0.0088783558438459	0	1	-0.240192230707631	0
336	5	202.072829131653	1308	0.0595229325509783	0.2	2	0.146113908046701	0
347	3	251	613	0.0487442290535642	0	8	0	0
365	3	119.428162115662	362	0.0221478585499938	0	5	0.816496580927727	0.444444444444444
370	3	136.446714758671	445	0.0421087421498132	0	5	-1.22474487139159	0.666666666666667
406	1	0	0	0.00121003700342039	0	1	-1.12089707663561	0
408	3	62.9925907425907	168	0.0142734357660838	0.333333333333333	1	-0.240192230707631	0.444444444444444
424	2	14.009043222859	90	0.0640715122133369	0	1	-1.12089707663561	0.5
