Name	"R1node.degree"	"R1node.betw"	"R1node.stress"	"R1node.evcent"	"R1Clustering.Coefficient"	R1No. module	R1Zi	R1Pi
18	2	0	0	0.0561871953316095	1	0	-0.962821302040618	0
174	4	551.734968996245	1523	0.0660030451144142	0	0	-0.580524608583314	0.375
353	5	305.750331041507	938	0.0230608196286375	0.2	9	0.0934538627031995	0.32
42	4	672.781793640691	2490	0.0883499753577351	0.166666666666667	0	-0.962821302040618	0.625
89	1	0	0	1.01933381510758e-05	0	5	-0.763479897838931	0
39	4	133.04419595354	636	0.0509954749916806	0.166666666666667	6	0.569651921139812	0.375
55	4	2395.47272775845	8218	0.0047236003190843	0	3	-0.599916972254498	0.5
45	2	8.43080394497898	171	0.0438058915969204	0	6	-0.732409612894043	0.5
52	3	35.9130952380952	98	0.0674016461701237	0.333333333333333	0	-0.580524608583314	0
139	2	323.827478077478	599	0.000355313217052766	0	2	0	0
219	4	281.430803944979	1023	0.046883824461334	0	6	0.569651921139812	0.375
397	1	0	0	7.95456679336722e-05	0	3	-1.09396624352291	0
107	2	0	0	0.0101158190436235	1	7	-0.485071250072666	0
309	3	13.5	27	1.58518762761169e-05	0.666666666666667	5	0.559885258415216	0
14	3	600.335331544266	1259	0.0201514112012515	0.333333333333333	6	0.569651921139812	0
74	2	31.4567266067266	127	0.022527255169571	0	4	-1.6583123951777	0.5
442	3	303.753145799213	780	0.00267940419524243	0	10	0	0
7	2	8.43080394497898	171	0.0438058915969204	0	6	-0.732409612894043	0.5
75	3	348.581705070852	1519	0.0108474744761875	0	1	-0.735062597839759	0.444444444444444
87	2	0	0	3.47747825485588e-05	1	13	0	0
5	5	75.4701723113488	346	0.0263099459409795	0.3	9	-0.420542382164398	0.48
177	2	1	1	2.88312998823727e-114	0	14	0	0
67	2	519.583387080756	2728	0.000200791852410413	0	5	-0.763479897838931	0.5
311	5	213.051708099019	1587	0.14136824079322	0.3	0	-0.580524608583314	0.48
389	1	0	0	2.88312998823727e-114	0	15	0	0
176	4	821.430803944979	2289	0.046908395381398	0	6	0.569651921139812	0.375
188	3	226.680663780664	623	0.00270553651100815	0.333333333333333	1	-0.341279063282745	0
285	2	519.583387080756	2728	0.000200791852410413	0	5	-0.763479897838931	0.5
289	4	1365.97608298135	5333	0.00347652074354984	0	3	-0.105867700986088	0.375
431	1	0	0	1.2391228726229e-05	0	8	-1	0
62	1	0	0	7.95456679336722e-05	0	3	-1.09396624352291	0
84	2	184	369	3.15748363448295e-05	0	2	0	0
439	8	3088.0830841856	8283	0.0742226690713442	0.142857142857143	7	0.242535625036333	0.75
222	8	385.075295351992	1929	0.314370087164125	0.5	0	0.948662165245903	0.21875
362	2	0	0	0.00500987961648052	1	7	-0.485071250072666	0
227	4	471.937157287157	1427	0.0788708253694251	0.166666666666667	0	-0.580524608583314	0.375
351	5	56.9728734131366	314	0.0350711562263892	0.4	9	0.607450107570797	0
51	1	0	0	4.67047020372139e-06	0	2	-1.08012344973464	0
232	1	0	0	2.98108653717514e-139	0	21	0	0
229	9	759.496063361788	2786	0.32540556050405	0.416666666666667	0	1.71325555216051	0
322	1	0	0	2.98108653717514e-139	0	23	0	0
